song,artist,genre,file_size,samples,bit/sampling_rate,bitrate,flac-compression6-bitrate,flac-compression6-filesize,flac-compression6-compression-ratio,flac-compression6-encode-time,flac-compression6-encode-speed,flac-compression6-decode-time,flac-compression6-decode-speed,mp3-cbr320-bitrate,mp3-cbr320-filesize,mp3-cbr320-compression-ratio,mp3-cbr320-encode-time,mp3-cbr320-encode-speed,mp3-cbr320-decode-time,mp3-cbr320-decode-speed,mp3-cbr128-bitrate,mp3-cbr128-filesize,mp3-cbr128-compression-ratio,mp3-cbr128-encode-time,mp3-cbr128-encode-speed,mp3-cbr128-decode-time,mp3-cbr128-decode-speed,aac-cbr256-bitrate,aac-cbr256-filesize,aac-cbr256-compression-ratio,aac-cbr256-encode-time,aac-cbr256-encode-speed,aac-cbr256-decode-time,aac-cbr256-decode-speed,aac-vbrlevel5-bitrate,aac-vbrlevel5-filesize,aac-vbrlevel5-compression-ratio,aac-vbrlevel5-encode-time,aac-vbrlevel5-encode-speed,aac-vbrlevel5-decode-time,aac-vbrlevel5-decode-speed,vorbis-vbrlevel7-bitrate,vorbis-vbrlevel7-filesize,vorbis-vbrlevel7-compression-ratio,vorbis-vbrlevel7-encode-time,vorbis-vbrlevel7-encode-speed,vorbis-vbrlevel7-decode-time,vorbis-vbrlevel7-decode-speed
Stealing People's Mail (2022 Mix),Dead Kennedys,Punk,49975926,8317848,24/88.2,4234,2945,34720810,30.52492914,0.620661,26.80319208,0.195352,85.15754126,320,3775848,92.44466626,3.001479,5.542499548,0.122346,135.9725369,128,1511016,96.97651225,2.595579,6.409242793,0.090855,183.1016015,256,3052907,93.89124476,2.017069,8.247460052,0.463703,35.87575668,219,2618903,94.75967089,2.145182,7.754911238,0.443384,37.51983833,212,2509180,94.9792226,1.902519,8.744036722,0.284994,58.37209204
Take Me Out,Franz Ferdinand,Rock,42587770,10571162,16/44.1,1411,1045,31325201,26.44554763,0.284994,74.18515478,0.589942,35.83797051,320,9592245,77.47652671,5.900265,3.583283802,0.282664,74.79666318,128,3837574,90.98902337,4.77733,4.425552348,0.215789,97.97683849,256,7716728,81.88041309,3.805843,5.55522758,0.733621,28.81913686,222,6695238,84.27896553,4.017487,5.262574341,0.717366,29.47215787,225,6755933,84.13644809,2.654839,7.963693467,0.541676,39.03131023
Toes,Glass Animals,Indie Rock,147242640,24445440,24/96,4608,3011,95850353,34.90312793,1.794579,27.24364879,0.553544,88.32338531,320,10188648,93.08036857,8.733843,5.597865682,0.314313,155.5483865,128,4076136,97.23168778,7.487145,6.52997638,0.233478,209.4025133,256,8247878,94.39844464,5.435302,8.99506228,1.278809,38.23157328,360,11552843,92.15387404,7.625959,6.41111236,1.443382,33.8724468,209,6664494,95.47380161,5.245229,9.321019159,0.860488,56.81761977
Trinity,Snarky Puppy,Jazz,273675926,45533734,24/96,4608,2769,164199262,40.00229965,3.967175,22.95524347,1.012078,89.98068133,320,18975528,93.06642412,14.606539,6.234705429,0.561027,162.3227902,128,7590888,97.22632235,12.7664,7.133371036,0.426967,213.2892425,256,15361336,94.38703425,10.285222,8.854205383,2.628024,34.65244914,284,17045814,93.77153327,12.801045,7.114065141,2.763633,32.95208445,229,13582089,95.03716341,9.924888,9.17566707,1.984476,45.88993165
Behind Closed Doors,Wormrot,Grindcore,50666106,8427520,24/96,4608,3185,34949954,31.0190643,0.663253,25.41268566,0.196566,85.74748431,320,3514728,93.06296008,2.890233,5.831723602,0.117673,143.2362564,128,1406568,97.22384823,2.100189,8.02548723,0.089893,187.5011402,256,2844340,94.38610893,1.825034,9.235466298,0.443315,38.02045949,281,3119699,93.84263121,2.252897,7.481496047,0.462596,36.43576685,258,2831372,94.41170395,1.888161,8.926696399,0.399992,42.13844277
Closer,Nine Inch Nails,Industrial Rock,215151664,35815780,24/96,4608,3074,143362638,33.36670731,2.580163,27.76241656,0.94825,75.5407962,320,14927208,93.06200672,11.792126,6.074524645,0.692088,103.5006531,128,5971560,97.22448812,9.379355,7.637152022,0.557381,128.5145349,256,12083575,94.38369438,7.825235,9.153918061,1.953243,36.67314308,285,13421266,93.7619511,9.631929,7.436886215,2.023072,35.40732114,305,14242184,93.38039793,8.593801,8.335259334,1.80125,39.76769466
C.R.E.A.M.,Wutang Clan,Hip-hop,44662512,11121432,16/44.1,1411,675,21293315,52.32396467,0.592765,37.52391589,0.2034,109.3552802,320,10091706,77.40452664,4.6525,4.780841268,0.295304,75.32191911,128,4037358,90.96029798,5.759474,3.861961005,0.223278,99.6195953,256,8118002,81.82367799,4.384682,5.072856823,0.773356,28.76148113,194,6152310,86.22489035,4.214942,5.277145925,0.719431,30.91729992,176,5557698,87.55623508,2.594148,8.574246342,0.491026,45.29874996
Feather,Nujabes,Lo-fi,30983432,7737344,16/44.1,1411,777,17037389,45.01129184,0.412131,37.54798353,0.147253,105.0891187,320,7021796,77.33693285,4.897285,3.159850407,0.212329,72.88070871,128,2809394,90.93259262,4.524067,3.420525823,0.15745,98.28318831,256,5648397,81.76962126,2.628494,5.887282984,0.53812,28.75694641,218,4818934,84.44673915,2.730162,5.668047537,0.519813,29.76972103,193,4240379,86.31404358,1.913296,8.087973842,0.357018,43.34427956
Heat Lightning,Mitski,Indie Pop,150556891,15164339,24/88.2,4234,2514,54026187,64.11576605,1.060007,28.61177143,0.333964,90.81421351,320,6880488,95.42997471,5.094736,5.95294398,0.215743,140.5778079,128,2752872,98.17154035,4.838844,6.267752794,0.159902,189.6704106,256,5564035,96.30436378,3.860286,7.856588346,0.839333,36.13426137,301,6527365,95.66451927,4.550962,6.664234507,0.918073,33.03514862,211,4531611,96.99010057,3.119065,9.723644105,0.789355,38.42210159
Honey Bucket,Melvins,Sludge Metal,32049442,7988568,16/44.1,1411,956,21655685,32.43038366,0.441485,36.18953305,0.156722,101.9457128,320,7249584,77.37999931,4.695339,3.402765168,0.216613,73.7588972,128,2900509,90.94989236,3.347515,4.772834774,0.166253,96.10133952,256,5832216,81.80244137,2.788025,5.730628671,0.549065,29.09880615,260,5918874,81.53205288,3.242812,4.926938719,0.60259,26.51410744,209,4746226,85.1909247,1.950557,8.191063373,0.503864,31.70922312
Lithium,Nirvana,Grunge,48905966,11333700,16/44.1,1411,918,29505106,39.66972046,0.627671,36.11350532,0.22173,102.2297389,320,10283968,78.9719561,6.533412,3.469458225,0.298053,76.05157472,128,4114263,91.5874006,5.344348,4.241377994,0.229643,98.70712367,256,8273415,83.08301486,4.044312,5.604760464,0.784454,28.89576699,241,7788740,84.07404937,4.487424,5.051316747,0.784744,28.88508864,207,6639500,86.42394672,2.832501,8.002609708,0.557698,40.64457825
"Ludwig, the Holy Blade",Nobuyoshi Suzuki,Video Game Score,144903122,23807930,24/96,4608,2898,89845905,37.99588045,1.680161,28.34005789,0.518846,91.77262617,320,9923688,93.15150159,6.554294,7.264834321,0.294792,161.5235827,128,3970152,97.26013357,6.058024,7.85996556,0.230662,206.4313151,256,8032554,94.45660391,5.2614,9.050036112,1.240179,38.39434469,394,12296115,91.51425116,7.939563,5.997289775,1.459746,32.6192776,223,6923179,95.22220163,4.890008,9.737378753,1.161655,40.98967421
"She is inside, He is outside",Mass of the Fermenting Dregs,J-Rock,30735602,7671636,16/44.1,1411,1009,21946497,28.59584465,0.429294,35.74070916,0.160074,95.85111886,320,6962237,77.34797256,4.341645,3.533976638,0.208405,73.6223795,128,2785571,90.93698897,3.785131,4.053564328,0.157878,97.18435754,256,5600574,81.77821928,2.6482,5.793849407,0.528169,29.04992909,211,4616166,84.98104576,2.839257,5.40397435,0.506139,30.31434448,208,4534825,85.24569325,1.936202,7.924416977,0.377225,40.67405925
This Hell,Rina Sawayama,Pop,41688204,10411058,16/44.1,1411,1053,31067919,25.47551581,0.590736,35.24775196,0.217099,95.91069512,320,9447004,77.33890383,6.119791,3.40242273,0.276642,75.26737083,128,3779478,90.93393901,4.658862,4.46935668,0.216448,96.199161,256,7600162,81.76903471,3.627044,5.740794983,0.726569,28.65813983,219,6496086,84.41744816,3.703459,5.622342788,0.69537,29.94393776,218,6448346,84.53196497,2.548727,8.169614086,0.529324,39.33718479
